Frequency, Hz	Amplitude, dBm
1.419956667E+9	-8.320703000E+1
1.419960000E+9	-8.317884000E+1
1.419963333E+9	-8.313945000E+1
1.419966667E+9	-8.307878000E+1
1.419970000E+9	-8.325629000E+1
1.419973333E+9	-8.315637000E+1
1.419976667E+9	-8.306442000E+1
1.419980000E+9	-8.194919000E+1
1.419983333E+9	-8.300901000E+1
1.419986667E+9	-8.316711000E+1
1.419990000E+9	-8.315191000E+1
1.419993333E+9	-8.326927000E+1
1.419996667E+9	-8.320573000E+1
1.420000000E+9	-8.247694000E+1
1.420003333E+9	-8.125896000E+1
1.420006667E+9	-8.302254000E+1
1.420010000E+9	-8.313400000E+1
1.420013333E+9	-8.316167000E+1
1.420016667E+9	-8.313164000E+1
1.420020000E+9	-8.302572000E+1
1.420023333E+9	-8.317283000E+1
1.420026667E+9	-8.316347000E+1
1.420030000E+9	-8.309840000E+1
1.420033333E+9	-8.317345000E+1
1.420036667E+9	-8.314474000E+1
1.420040000E+9	-8.285266000E+1
1.420043333E+9	-8.305818000E+1
1.420046667E+9	-8.311344000E+1
1.420050000E+9	-8.300620000E+1
1.420053333E+9	-8.301649000E+1
1.420056667E+9	-8.319482000E+1
1.420060000E+9	-8.322569000E+1
1.420063333E+9	-8.313338000E+1
1.420066667E+9	-8.317299000E+1
1.420070000E+9	-8.313795000E+1
1.420073333E+9	-8.317564000E+1
1.420076667E+9	-8.311079000E+1
1.420080000E+9	-8.310721000E+1
1.420083333E+9	-8.305452000E+1
1.420086667E+9	-8.312396000E+1
1.420090000E+9	-8.317957000E+1
1.420093333E+9	-8.317912000E+1
1.420096667E+9	-8.318567000E+1
1.420100000E+9	-8.319041000E+1
1.420103333E+9	-8.310219000E+1
1.420106667E+9	-8.320600000E+1
1.420110000E+9	-8.304827000E+1
1.420113333E+9	-8.320418000E+1
1.420116667E+9	-8.306239000E+1
1.420120000E+9	-8.301191000E+1
1.420123333E+9	-8.295815000E+1
1.420126667E+9	-8.306755000E+1
1.420130000E+9	-8.313477000E+1
1.420133333E+9	-8.304484000E+1
1.420136667E+9	-8.312423000E+1
1.420140000E+9	-8.313148000E+1
1.420143333E+9	-8.308540000E+1
